price_per_m2,size_num,bedrooms,luxury_score,postal_code_clean,nr_rooms
6875.0,40.0,1.0,0.0,1102 ZA,2.0
9062.5,48.0,1.0,0.0,1075 RV,2.0
8000.0,50.0,1.0,0.0,1091 ZB,2.0
5040.404040404041,99.0,3.0,1.0,1106 DV,5.0
4766.228070175439,114.0,3.0,1.0,1103 AM,4.0
8461.538461538461,26.0,1.0,1.0,1069 LH,1.0
4752.06611570248,121.0,4.0,1.0,1066 DG,5.0
9375.0,48.0,1.0,0.0,1054 MS,2.0
9303.79746835443,79.0,2.0,0.0,1018 CA,3.0
4213.483146067416,89.0,3.0,0.0,1024 LD,4.0
9330.708661417322,127.0,4.0,0.0,1053 SE,5.0
5931.14,50.0,1.0,1.0,1032 KW,2.0
9416.666666666666,60.0,1.0,1.0,1031 HX,2.0
7900.0,50.0,1.0,1.0,1062 HE,2.0
10131.578947368422,76.0,2.0,1.0,1096 AM,3.0
6686.046511627907,172.0,2.0,0.0,1055 MB,5.0
8861.386138613861,101.0,3.0,1.0,1074 EA,4.0
7142.857142857143,49.0,1.0,0.0,1065 XP,3.0
4576.923076923077,130.0,2.0,0.0,1015 ZR,3.0
7700.0,50.0,1.0,1.0,1062 HE,2.0
9375.0,40.0,1.0,0.0,1017 WG,1.0
7741.379310344828,58.0,2.0,0.0,1056 GJ,3.0
10967.741935483871,155.0,3.0,0.0,1018 CA,4.0
11064.935064935065,77.0,2.0,1.0,1031 HX,3.0
7746.478873239436,71.0,2.0,0.0,1021 HJ,3.0
4411.764705882353,102.0,3.0,1.0,1067 DB,4.0
8114.754098360656,61.0,1.0,0.0,1078 AJ,2.0
7589.285714285715,56.0,1.0,0.0,1095 TH,3.0
8430.232558139534,86.0,3.0,0.0,1051 LB,4.0
7148.969072164949,97.0,3.0,1.0,1101 DA,4.0
5950.0,100.0,3.0,1.0,1061 DJ,4.0
8823.529411764706,51.0,1.0,0.0,1058 XB,2.0
8295.774647887323,71.0,1.0,0.0,1056 PC,3.0
15394.08866995074,406.0,4.0,5.5,1014 ZP,6.0
6081.145833333333,48.0,1.0,1.0,1032 KW,2.0
8562.5,80.0,2.0,0.0,1018 VL,3.0
9057.971014492754,69.0,2.0,0.0,1075 XR,3.0
7035.398230088495,113.0,3.0,1.0,1019 TN,4.0
11538.461538461539,39.0,1.0,1.0,1096 GV,1.0
10769.23076923077,65.0,2.0,0.0,1016 XL,3.0
9210.526315789473,57.0,1.0,1.0,1031 KN,2.0
7712.765957446809,94.0,3.0,0.0,1019 XC,4.0
8867.924528301886,53.0,1.0,0.0,1018 CA,2.0
6609.19540229885,87.0,2.0,1.0,1095 ME,3.0
9300.0,150.0,2.0,1.0,1012 RT,3.0
7390.10989010989,182.0,3.0,0.0,1074 AV,4.0
7303.3707865168535,89.0,3.0,0.0,1095 GZ,4.0
10000.0,75.0,2.0,0.0,1015 RM,3.0
7777.777777777777,90.0,2.0,1.0,1011 NC,3.0
9141.193548387097,31.0,1.0,1.0,1095 PA,2.0
8558.558558558558,111.0,3.0,1.0,1061 AV,4.0
